date,return_5d,return_10d,return_20d,dist_from_ma20,dist_from_ma50,volatility_10d,volume_ratio,consecutive_up
2010-01-04,,,,,,,,0
2010-01-05,,,,,,,,1
2010-01-06,,,,,,,,2
2010-01-07,,,,,,,,3
2010-01-08,,,,,,,,4
2010-01-11,0.012353216758785646,,,,,,,5
2010-01-12,0.00026391228743660733,,,,,,,0
2010-01-13,0.008003177992224497,,,,,,,1
2010-01-14,0.006480262928781233,,,,,,,2
2010-01-15,-0.008117096079596764,,,,,,,0
2010-01-19,0.0028767126696582768,0.015265466083604906,,,,0.007167974603273062,,1
2010-01-20,0.002023451584065139,0.002287897885237866,,,,0.008040552237528939,,0
2010-01-21,-0.025475529457312462,-0.017676236661780975,,,,0.010119583400369395,,0
2010-01-22,-0.0497694818142822,-0.04361173821348663,,,,0.01173045464476039,,0
2010-01-25,-0.03405506084702559,-0.04189572872573055,,,,0.011874924280488166,,1
2010-01-26,-0.04997438874168081,-0.04724143802927405,,,,0.011712299950725463,,0
2010-01-27,-0.035648090533468846,-0.03369677113466252,,,,0.011947363065795481,,1
2010-01-28,-0.0280215343817537,-0.05278320041448481,,,,0.01140912303132322,,0
2010-01-29,-0.01666542799244397,-0.06560548009132894,,,,0.011148967833847672,,0
2010-02-01,-0.006468284755012821,-0.040303067771130574,,-0.028332442110350076,,0.01300421927215899,0.9647194796897831,1
2010-02-02,0.009788824520176043,-0.04067475474339999,-0.02603020774878939,-0.015277423356187357,,0.012949327554850806,1.0837825173607032,2
2010-02-03,0.0,-0.035648090533468846,-0.03344175183917519,-0.018520339670357037,,0.01278058565814133,0.8523089693103402,0
2010-02-04,-0.019618391393149137,-0.04709018834596501,-0.06393404769409494,-0.04571472723626649,,0.014745566830359012,1.6615064962068014,0
2010-02-05,-0.00679698017913799,-0.02334913358784041,-0.06594257549978244,-0.04050352206812975,,0.013476358580197377,2.1200420739092154,1
2010-02-08,-0.02906636082307379,-0.035346636079490956,-0.07576149172866808,-0.043697098362846847,,0.01328681186532806,0.9430384013601615,0
2010-02-09,-0.028628314766337093,-0.019119727795716912,-0.06545792238919301,-0.028390562597009332,,0.014215262017800923,1.3551886565477764,1
2010-02-10,-0.025676285912486496,-0.025676285912486496,-0.058507849117167776,-0.02736311972263114,,0.014026488012681589,0.9501192856242586,0
2010-02-11,0.015876943556883738,-0.004052927929091288,-0.05662220183642941,-0.014276113492792368,,0.014183482455423306,0.8726319480489728,1
2010-02-12,0.01293825472276211,0.006053333482721079,-0.05994927845789477,-0.011993239194420347,,0.013700540974532072,1.146610333514434,0
2010-02-16,0.03635830863612988,0.006235144095321665,-0.034319219110845456,0.005345245465925242,,0.013722766364723037,0.6057156548473714,1
2010-02-17,0.02835271968234232,-0.0010872856675425702,-0.04171781533307928,0.012335140403050577,,0.013232010241874086,0.63833838927636,2
2010-02-18,0.03644514999113824,0.009833087987355826,-0.026165533356909743,0.01969794085448059,,0.013226670139134096,0.735505117323995,3
2010-02-19,0.02783697458530887,0.04415588421647776,-0.0050136130338237495,0.022075532314235046,,0.0070542560428783286,0.8656045725989744,4
2010-02-22,0.028877926723794634,0.04218981141837452,0.017855582287680694,0.02134382580758161,,0.007146808663265136,0.5367309162343148,5
2010-02-23,0.0006380575547055845,0.037019564884337,0.00036441171705825504,0.008921357214744154,,0.008121662876334052,0.8380074463389319,0
2010-02-24,0.005078721195795666,0.03357543643654726,0.013813755435541086,0.017495202500107405,,0.007774917453136173,0.7172614849641277,1
2010-02-25,-0.0021637205070690335,0.034202572365650274,0.007648091426160741,0.015726639118940046,,0.007731339703185106,1.0586306139398003,0
2010-02-26,-0.003599105402713243,0.024137680976970444,0.019986924766503877,0.015357628839458595,,0.007347996508845555,0.7289701611938042,1
2010-03-01,0.006566824588207787,0.0356343875912688,0.04190342790553214,0.023789625565246476,,0.007647744644109246,0.6422688507388465,2
2010-03-02,0.021764716642868942,0.022416661339454524,0.028791576548363507,0.025153513566567327,,0.0063360944016143655,0.7041382870415273,3
2010-03-03,0.013355023384586495,0.018501571020715923,0.01739416886017553,0.02516807995528682,,0.006283932283882066,0.6690840397686674,4
2010-03-04,0.0178006061235374,0.015598370079960677,0.025584838212772132,0.026954971627563943,,0.0061428196417786666,0.6074403551321098,5
2010-03-05,0.031696276314810534,0.027983092672766663,0.07337459508932231,0.03793835732247385,,0.007351532532210448,0.8211337737764769,6
2010-03-08,0.021271087161863766,0.027977595248264153,0.07134777613410259,0.03454358175087321,,0.007351743547178965,0.5862446744757479,7
2010-03-09,0.02014266593284675,0.04234578199217598,0.08093296930055027,0.03225912649051507,,0.005224563646829534,0.804755510982497,8
2010-03-10,0.02377554793172254,0.03744809431491847,0.07228086686180601,0.03324768744462411,,0.0049239051060253275,1.0087882891333058,9
2010-03-11,0.024946855472503637,0.04319153074432802,0.07887136456584432,0.03364177330915454,,0.004593529356651546,0.8909001124075651,10
2010-03-12,0.010590326756039659,0.042622276993973696,0.06778876089553676,0.030349866097430032,,0.004644236795842491,0.9135823840242865,11
2010-03-15,0.010676370933351276,0.03217455611191089,0.06895546430624844,0.027203114165193432,,0.004229365546510715,0.8660965084494918,12
2010-03-16,0.017036502527783437,0.03752232903971131,0.06078011572191655,0.03232376887506786,0.043204890504646785,0.004484911668452106,0.9922916248917283,13
2010-03-17,0.018526746952133966,0.042742778444035956,0.062035158015756764,0.03530292312499695,0.048679882006565194,0.004416805686695183,1.0413911801901534,14
2010-03-18,0.013772058703386936,0.03906248373392285,0.05527016489140757,0.031976088114102116,0.04750290214179492,0.004656807079574789,1.1521779522987583,0
2010-03-19,0.008553145190633105,0.01923405254903332,0.04775537349675263,0.02435497766768966,0.04168963381768525,0.0037716990326181156,1.3273093630140693,0
2010-03-22,0.013682271019134884,0.024504718953097138,0.053167897309903456,0.02716195777461071,0.0467200360750728,0.003860376952005494,1.064138500015791,1
2010-03-23,0.012743935547960605,0.02999755016592065,0.07361360187772203,0.030730858666572276,0.05345558502753948,0.004107333878306756,1.0628041523361371,2
2010-03-24,0.0018883401136871036,0.020450071865266928,0.0586639824001427,0.022819814628272993,0.04785577860981277,0.004739224204269969,1.1326006695466047,0
2010-03-25,0.0007718928546505133,0.01455458211174454,0.05837474753682259,0.01828906279062742,0.045503802040680434,0.004802962327202728,1.3040833604438113,0
2010-03-26,0.00526077983077311,0.013858921235114785,0.057071897008809325,0.014890310329221718,0.04442193123127486,0.004829521834596592,1.1902211123203674,0
2010-03-29,0.006260739265611992,0.02002867141615905,0.05284764114039597,0.018720447431964285,0.05051219693108202,0.0050501251143855045,0.7808912505882221,1
2010-03-30,-8.519302057263811e-05,0.012657656833024555,0.050654930637296314,0.016916448948214754,0.05043390780387129,0.004598547816485199,0.8500082961416133,2
2010-03-31,0.0013692170049903751,0.00326014266607233,0.04614226866577997,0.011191195489031918,0.046402859026619,0.004493921139972913,0.9364492439308931,0
2010-04-01,0.009858592267159239,0.010638094898737904,0.050116129041602564,0.015638244994583883,0.05273387225255574,0.004920833645985647,0.930361558545705,1
2010-04-05,0.018699245983253565,0.0240583984301459,0.043755191478830335,0.02172236611321272,0.05988889599494029,0.004864830375774779,0.6234810587932114,2
2010-04-06,0.014660983580788933,0.021013511441977606,0.04603316058717799,0.02182852804869773,0.06044228650248108,0.004753578027071536,0.6510175965047619,3
2010-04-07,0.00817723733986564,0.008091347675744043,0.038331618449477745,0.014089890080109564,0.052689330305317486,0.0049845649575932915,1.0790314922396216,0
2010-04-08,0.015128714761838635,0.016518646260344605,0.03730652562875236,0.01574401411131157,0.054477370317365555,0.004613033907450443,0.9352686640327368,1
2010-04-09,0.014855801325197593,0.024860850880424,0.03977727228767547,0.02041907832567766,0.0594890388377952,0.00469357178568245,0.7902992360437747,2
2010-04-12,0.008251958264617665,0.02710550964530478,0.04134008400363154,0.019971585075671986,0.05899263793531628,0.00458435268796954,0.6654974693004223,3
2010-04-13,0.006636386986965892,0.021394666528406603,0.04185184469052139,0.018649651673268,0.0573794003010848,0.004426845261164653,0.7595872347823593,4
2010-04-14,0.023909762334314744,0.03228251547552774,0.045348793311148494,0.027913631697238036,0.06701153823903683,0.005248673751375201,0.9838174691657973,5
2010-04-15,0.021217422470954928,0.03666712956533824,0.040046812304948665,0.02672856088632573,0.0657598766706138,0.004809354286215433,0.8892583423100389,6
2010-04-16,-0.0015895226225177694,0.013242665070397619,0.024021636696866633,0.009194744949425947,0.04696466697290916,0.0076556556627891325,2.1432155827005612,0
2010-04-19,0.0005844076378542784,0.008841188409908884,0.03311229167341634,0.011357708985934209,0.04837262069147566,0.007341857242167331,1.2767598337787782,1
2010-04-20,0.00876249800004869,0.015457036314715511,0.036795354366151445,0.018545840872444118,0.05502928091424756,0.00776824566036111,0.9311704233236144,2
2010-04-21,-0.004373225113377677,0.019431974447841727,0.0276805529848696,0.015301796789473451,0.050321432502834086,0.007454442796261271,1.1356753709163525,0
