Price,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY
Date,,,,,
2010-01-04,84.79637145996094,84.84126314956657,83.43460169303377,84.07807588374169,118944600
2010-01-05,85.02088165283203,85.05829522009896,84.43726653792487,84.74404180568878,111579900
2010-01-06,85.08069610595703,85.29019827149394,84.87119394042013,84.93853147569733,116074400
2010-01-07,85.43983459472656,85.54458566258876,84.68412556928773,84.92355739704493,131091100
2010-01-08,85.72415924072266,85.761572783385,85.04327729060778,85.2153658864423,126402800
2010-01-11,85.8438949584961,86.14318052486202,85.4772604352372,86.10577268331942,106375700
2010-01-12,85.04330444335938,85.45482500151054,84.71408343003289,85.27525249810834,163333500
2010-01-13,85.76156616210938,86.00099797454963,84.82628475281074,85.26025098826175,161822000
2010-01-14,85.99354553222656,86.15067218135538,85.6119489794813,85.6643245291909,115718800
2010-01-15,85.02832794189453,85.92619607452762,84.69910696262609,85.84389653821688,212283100
2010-01-19,86.09082794189453,86.1432035008287,84.99093549576892,85.01338705689025,139172700
2010-01-20,85.21539306640625,85.634397477044,84.5345108991199,85.50720052502996,216490200
2010-01-21,83.57678985595703,85.49972924980253,83.47203873788823,85.23785145463054,344859600
2010-01-22,81.71367645263672,83.60668536583269,81.62388737022818,83.20264305775247,345942400
2010-01-25,82.13268280029297,82.61155220989988,81.86332696336589,82.46190373548971,186937500
2010-01-26,81.78850555419922,82.65644964056212,81.5864872353422,81.81095139979378,211168800
2010-01-27,82.1775894165039,82.36464574912354,81.05525142078604,81.68375795830504,271863600
2010-01-28,81.23482513427734,82.49184393689407,80.74099937709201,82.44695224310622,316104000
2010-01-29,80.3519058227539,82.15513134087391,80.22470890554776,81.58647857597437,310677600
2010-02-01,81.60144805908203,81.60893191034152,80.43421843685972,80.92056601562099,187865000
2010-02-02,82.58911895751953,82.74624560908724,81.46678083903002,81.75111014915842,216327900
2010-02-03,82.1775894165039,82.66393702301623,81.93815753909101,82.21499725792408,172730700
2010-02-04,79.64110565185547,81.57900650917098,79.62613794854836,81.54159866791566,356715700
2010-02-05,79.80570220947266,79.97030695758033,78.24939243050274,79.73087512300845,493585800
2010-02-08,79.22957611083984,80.30702236344926,79.16971671713799,79.86556647053058,224166900
2010-02-09,80.2247314453125,80.92058132292264,79.51391386235198,80.15738818824984,337820500
2010-02-10,80.06758117675781,80.50903130978284,79.39417734726553,80.09751087012472,240511500
2010-02-11,80.90559387207031,80.99538295673794,79.49893246331092,79.96283417133532,223591600
2010-02-12,80.8382568359375,80.88314852429394,79.69347311480281,80.05261803866573,304622100
2010-02-16,82.11024475097656,82.19254999258898,80.67365351129718,81.45180852658338,159317500
2010-02-17,82.49932861328125,82.611563557379,82.11024823487658,82.50680675664975,168845100
2010-02-18,82.98567962646484,83.15776826708161,82.33472149087635,82.36465119109374,193708600
2010-02-19,83.15779876708984,83.47953602679803,82.57418367006308,82.76872393857491,222684900
2010-02-22,83.17271423339844,83.48696744078788,82.92579855251883,83.46452159861794,132346900
2010-02-23,82.16260528564453,83.20263783038648,81.9456192981689,82.94824400896994,207497000
2010-02-24,82.9183349609375,83.05301575536754,82.20003929347943,82.40954148292472,176350700
2010-02-25,82.80610656738281,82.86596597153485,81.51167977651009,81.73614397931978,259634700
2010-02-26,82.85847473144531,83.14280402156395,82.3870948099157,82.88092057887437,173589300
2010-03-01,83.71891784667969,83.80122307602406,83.18019478497297,83.2026406277932,147709700
2010-03-02,83.95088958740234,84.35493199800459,83.80124678725643,84.07809224688397,160992400
2010-03-03,84.02570343017578,84.52701301087643,83.8161955511385,84.16786235531855,150785000
2010-03-04,84.28010559082031,84.39982439063003,83.82368765643227,84.13794094317292,135770400
2010-03-05,85.48474884033203,85.55208638379925,84.62428851993153,84.82631256734632,176118800
2010-03-08,85.49970245361328,85.68675877846967,85.35005967713059,85.49222431074335,114631200
2010-03-09,85.641845703125,86.03840409944203,85.20039562677346,85.24528730680797,154556700
2010-03-10,86.02346801757812,86.25541604562089,85.60446365504762,85.67928504714145,186088800
2010-03-11,86.38259887695312,86.40505042857066,85.55955228130998,85.82142996512752,160791100
2010-03-12,86.39010620117188,86.77170276328116,86.15067429540872,86.7567350581358,162074800
2010-03-15,86.41252899169922,86.4723883792936,85.74660900310151,86.2404403879971,146816800
2010-03-16,87.10090637207031,87.18320589989897,86.41253478559089,86.65196664351676,168673000
2010-03-17,87.6171875,87.90151678695261,87.10839403274979,87.3627936206281,177468100
2010-03-18,87.5722885131836,87.74437713289736,87.22062171397818,87.62466405507551,196509100
2010-03-19,87.1290054321289,88.12072966572507,86.7909141078495,87.1290054321289,226641100
2010-03-22,87.59484100341797,87.75262044666913,86.58057815574804,86.63316939282679,184477800
2010-03-23,88.21088409423828,88.28601358521149,87.43703371437732,87.72253380489333,182941600
2010-03-24,87.78264617919922,88.22591998207352,86.83600414352632,87.88031968987355,196072600
2010-03-25,87.63987731933594,88.78186032475055,87.53469490036402,88.37615425213943,223396300
2010-03-26,87.58731079101562,88.21840548268291,87.24171049814827,87.80519035799986,205808500
2010-03-29,88.14326477050781,88.30103842335801,87.66994381195718,88.03056766646829,134513500
2010-03-30,88.2033920288086,88.52645408159371,87.83525341629064,88.24846858854143,145772500
2010-03-31,87.90287017822266,88.29354707915067,87.60986106952306,87.86530255628092,161078700
2010-04-01,88.50393676757812,88.8420225096925,87.97801860738117,88.50393676757812,161215200
2010-04-05,89.2251205444336,89.28522068048609,88.59402039378821,88.84195280054215,105847600
2010-04-06,89.43553161621094,89.59330530248684,88.87205170864813,88.96971949576731,110384200
2010-04-07,88.92463684082031,89.67594333272856,88.51141597746533,89.25521353150431,184576300
2010-04-08,89.23269653320312,89.38296131627914,88.35366904726612,88.61662525262993,158704000
2010-04-09,89.81871032714844,89.85627221961435,89.25523035202708,89.42051299650365,133006500
2010-04-12,89.96146392822266,90.19437290629445,89.8262284910251,89.93141097195483,110279000
2010-04-13,90.02906036376953,90.1868340428435,89.405474585515,89.87128668469558,125043600
2010-04-14,91.05084228515625,91.05084228515625,90.21689155924211,90.35963590543388,161609000
2010-04-15,91.12598419189453,91.33634913660029,90.8705369504555,90.90058990427272,144615300
2010-04-16,89.6759262084961,91.125947690268,89.21762887738599,90.80288573115782,366786700
2010-04-19,90.01402282714844,90.10418166355834,89.0072749479642,89.41298111378887,217947800
2010-04-20,90.81793212890625,90.89306736821733,90.05911665358738,90.57751426634714,157708000
2010-04-21,90.65265655517578,91.08090108528664,90.14927677991102,90.87053042367592,192910100
2010-04-22,90.9231185913086,91.03581572322632,89.49564069373167,90.01403832933038,115360300
2010-04-23,91.51663970947266,91.5542073259558,90.63009784139739,90.86300674596856,177335500
2010-04-26,91.17102813720703,91.74953726018224,91.0808750400254,91.54668132749796,143457300
2010-04-27,89.0147933959961,91.163524634186,88.84199038521164,90.64512706585965,355853300
2010-04-28,89.69096374511719,89.91635797746514,88.85701311024859,89.44303696795056,300674100
2010-04-29,90.80291748046875,90.99074413325276,90.2093845698295,90.23192285104125,193775000
2010-04-30,89.26272583007812,90.9156036137146,89.2401875515945,90.81793009760044,270000900
2010-05-03,90.41971588134766,90.66764834651262,89.55571245341702,89.69094782241497,182747900
2010-05-04,88.29352569580078,89.42799996591934,87.84274300174445,89.41297635998974,360353400
2010-05-05,87.76763153076172,88.50391447678939,87.12902210537858,87.57229022148677,328973200
2010-05-06,84.85253143310547,87.90283303583153,78.88715785266933,87.34686800449987,647356600
2010-05-07,83.59036254882812,85.4761377312255,82.20044667432353,84.62716345225029,637558800
2010-05-10,87.27178955078125,87.63992823104178,86.33265617010574,87.0088276185799,396159600
2010-05-11,87.0238265991211,88.17332453887423,86.33262604779434,86.45283209793178,317849800
2010-05-12,88.240966796875,88.36869328811699,87.21918925902928,87.3694540334272,235607100
2010-05-13,87.14405059814453,88.413760581568,87.0689210848327,88.00053966033123,234452500
2010-05-14,85.56631469726562,86.64819811746518,84.79998442930088,86.49042440735523,345601400
2010-05-17,85.61137390136719,86.03961837968365,83.97352549215425,85.79920052750623,325739800
2010-05-18,84.44685363769531,86.56553778586533,84.16886816294455,86.31009058949715,360556800
2010-05-19,83.96603393554688,84.7248495351773,82.91420346503136,83.97354287509692,394742700
2010-05-20,80.79548645019531,82.56105524559614,80.74289523440083,82.17788739794337,530418300
2010-05-21,81.97506713867188,82.17791740738029,79.1576672665207,79.57088820724209,500909400
2010-05-24,80.92324829101562,82.18544384370615,80.84811876340625,81.53180491627187,269823000
2010-05-25,81.0058822631836,81.04344988825277,78.42138556922751,78.96984194235742,396505200
2010-05-26,80.51750183105469,82.24550876485534,80.27708402332712,81.50171706782514,349719300
2010-05-27,83.2147216796875,83.2447746319116,81.72713207067484,82.0351705319609,300870500
2010-05-28,82.17041015625,83.18467298465895,81.77972748935711,83.12456707713469,297933500
2010-06-01,80.78800201416016,82.6061627057481,80.6677959325089,81.40407322916164,277909400
2010-06-02,82.8916244506836,82.89913338654388,80.77294093962598,81.20118529615851,240243700
2010-06-03,83.17713165283203,83.44008774894805,82.32815747622519,83.13205510264443,226618300
2010-06-04,80.25454711914062,82.14032773406991,79.98407636432954,81.59938622444774,398475600
2010-06-07,79.25532531738281,80.8480972460645,79.1952251505,80.5400588132288,264609100
2010-06-08,80.10425567626953,80.26202926397391,78.6241817933149,79.31538200573712,357774300
2010-06-09,79.67607879638672,81.3514895478253,79.33798733806758,80.57012988248488,268023300
2010-06-10,82.0051040649414,82.10277184456272,79.66854043572842,81.03591801049497,317890600
2010-06-11,82.40328216552734,82.4558733816839,81.23124607288824,81.2838372890448,214128200
2010-06-14,82.27555847167969,83.48516213136764,82.19291431614728,83.03437374409546,207196100
2010-06-15,84.14631652832031,84.22144602167516,82.71131855758722,82.85406860737046,238268700
2010-06-16,84.11627197265625,84.46187226216216,83.54527744859656,83.71056578966754,216374000
2010-06-17,84.25150299072266,84.3942530473261,83.4325817296071,84.35668543284734,263185800
2010-06-18,84.34284973144531,84.64479749919846,84.07109213303988,84.41833667338359,174006600
2010-06-21,84.10133361816406,85.45256616087089,83.63330510976714,85.39218003018065,213140700
2010-06-22,82.71228790283203,84.47116152518383,82.59150997129895,84.10127155080436,239355400
2010-06-23,82.45565795898438,83.05955933120705,81.88949718292766,82.76515618840038,254639900
2010-06-24,81.08932495117188,82.15371004787711,80.87795916838135,82.04802715648185,268523600
2010-06-25,81.42900085449219,81.84418187402734,80.59862729685399,81.33086265625279,238726500
2010-06-28,81.17234802246094,81.76870466694362,80.8779449112876,81.54978849927646,169218600
2010-06-29,78.66617584228516,81.15728631757868,78.16795720279865,80.03250908736105,373649500
